"","filename","site","elevation","aspect","plot","day.night","measurement","tstart","tfinish","wamb","tav","pav","cav","flux_value_original","flux_nlm","lm_rsqd","non_linear_sigma","aic_lm","aic_nlm","w_prime_min","w_prime_max","suggested.discard","flux","comments","pairID","flag","flux_value"
"56","5_2800_east_1_day_photo","5","2800","east","1","day","photo",20,80,12.4116461917106,22.9519438016529,73.1322041322314,428.863338842975,2.24728107455958,-1.41399092573687,0.994434509839454,0.250496612817442,-124.478155708079,8.05149666216421,15.379341660527,19.0503306920228,FALSE,"ET",NA,"5_east_1_day_ET","okay",2.24728107455958
"57","5_2800_east_2_day_photo","5","2800","east","2","day","photo",20,80,12.4958173051669,22.9504305785124,73.1165214876033,411.565818181818,3.1614010108274,2.15309589447393,0.981296573288352,0.538209004244145,-8.06402684239378,98.2980818867704,15.7195809506668,21.2045986477004,FALSE,"ET",NA,"5_east_2_day_ET","okay",3.1614010108274
"58","5_2800_east_3_day_photo","5","2800","east","3","day","photo",20,80,13.0302336757675,22.9223661157025,73.115352892562,415.816289256198,2.30869774514716,1.36806680891008,0.977053540095607,0.513639286598517,-33.6859021036821,92.7844461718068,16.717375445767,20.5358343809134,FALSE,"ET",NA,"5_east_3_day_ET","okay",2.30869774514716
"59","5_2800_east_4_day_photo","5","2800","east","4","day","photo",20,80,12.3774822723371,22.2128039106145,73.126469273743,437.690815642458,2.27343648354065,1.53144589609794,0.992729785559543,0.376020173787712,-106.957884633113,55.9827894957347,15.6669676765003,19.7217240598344,FALSE,"ET",NA,"5_east_4_day_ET","okay",2.27343648354065
"60","5_2800_east_5_day_photo","5","2800","east","5","day","photo",20,80,12.0888877411313,19.6745040983607,73.1235139344262,424.738795081967,2.08424472845031,-1.16084557675631,0.984188479592881,0.236817992708536,-70.684785302366,1.4253817857899,16.7951166991007,20.2965553155818,TRUE,"ET","Redo is better","5_east_5_day_ET","discard_this_keep_other_reading",NA
"61","5_2800_east_5_day_redo_photo","5","2800","east","5","day","redo",20,80,12.6010282445287,19.5924181818182,73.1275016528926,417.904132231405,2.75738012753326,1.84173592654016,0.996116251938219,0.452329211837868,-122.956025037028,77.7853502301095,14.5277327750184,19.2354185123321,FALSE,"ET","This is better","5_east_5_day_ET","manual_flux_time_selection",2.75738012753326
"62","5_2800_west_1_day_photo","5","2800","west","1","day","photo",20,80,12.8660006896616,20.9346520661157,72.972694214876,398.085371900826,3.75296499918909,2.44809242861811,0.99747043119857,0.647518700768875,-110.767765970306,120.11636521911,16.5273109376102,22.8659640532169,FALSE,"ET",NA,"5_west_1_day_ET","okay",3.75296499918909
"63","5_2800_west_2_day_photo","5","2800","west","2","day","photo",20,80,12.333360095979,21.7460795081967,72.9737901639344,414.092106557377,2.23054491599354,-0.26063743640037,0.973290728859994,0.276863739660017,-28.6384833015334,19.8609451376614,15.913678221127,19.623365403547,TRUE,"ET","Redo is better","5_west_2_day_ET","discard_this_keep_other_reading",NA
"64","5_2800_west_2_day_redo_photo","5","2800","west","2","day","redo",20,80,15.3957600928784,21.9660272727273,72.9713983471074,412.90932231405,2.07519789283731,0.949532713368366,0.969672804918708,0.235329844547818,-29.3743787480637,0.681538224078752,16.7977013864443,20.4252397693186,FALSE,"ET","This is better","5_west_2_day_ET","manual_flux_time_selection",2.07519789283731
"65","5_2800_west_3_day_photo","5","2800","west","3","day","photo",20,80,11.4722598882795,21.1523886178862,72.9923260162602,414.419918699187,2.10250407824572,1.7223438502419,0.94778090858169,0.287242126416136,6.38922481876533,24.2033493345297,15.340577720666,19.0132588910181,TRUE,"ET","Redo is better","5_west_3_day_ET","discard_this_keep_other_reading",NA
